score,hand_length,action,result,reward
11,2,SURRENDER,surrendered,-10
12,3,DOUBLE DOWN,bust,-40
16,2,RETRY,unsettled,-5
16,2,STAND,win,20
15,11,SURRENDER,surrendered,-10
15,4,SURRENDER,surrendered,-10
11,8,STAND,lose,-20
14,10,DOUBLE DOWN,bust,-40
14,7,SURRENDER,surrendered,-10
20,9,SURRENDER,surrendered,-10
12,10,HIT,unsettled,0
20,10,DOUBLE DOWN,bust,-40
13,10,HIT,unsettled,0
13,10,RETRY,unsettled,-5
14,10,STAND,lose,-20
15,5,DOUBLE DOWN,win,40
12,9,STAND,lose,-20
7,8,HIT,unsettled,0
17,8,HIT,bust,-20
20,10,HIT,bust,-20
14,10,DOUBLE DOWN,lose,-40
18,6,SURRENDER,surrendered,-10
16,3,STAND,win,20
17,10,HIT,unsettled,0
17,10,RETRY,unsettled,-5
17,10,STAND,lose,-20
11,11,HIT,unsettled,0
20,11,SURRENDER,surrendered,-10
16,3,DOUBLE DOWN,bust,-40
12,7,SURRENDER,surrendered,-10
18,10,HIT,bust,-20
7,10,DOUBLE DOWN,lose,-40
10,5,DOUBLE DOWN,win,40
5,10,RETRY,unsettled,-5
12,10,HIT,unsettled,0
18,10,RETRY,unsettled,-5
21,10,STAND,win,20
20,3,STAND,win,20
13,6,HIT,bust,-20
12,8,DOUBLE DOWN,draw,0
19,8,RETRY,unsettled,-5
20,8,DOUBLE DOWN,bust,-40
13,10,RETRY,unsettled,-5
19,10,DOUBLE DOWN,draw,0
11,4,DOUBLE DOWN,lose,-40
9,10,RETRY,unsettled,-5
7,10,RETRY,unsettled,-5
8,10,RETRY,unsettled,-5
10,10,HIT,unsettled,0
20,10,DOUBLE DOWN,bust,-40
13,11,STAND,lose,-20
14,7,RETRY,unsettled,-5
21,7,DOUBLE DOWN,win,40
13,5,STAND,lose,-20
20,2,SURRENDER,surrendered,-10
8,3,DOUBLE DOWN,lose,-40
8,10,DOUBLE DOWN,lose,-40
10,10,RETRY,unsettled,-5
15,10,DOUBLE DOWN,bust,-40
18,10,STAND,draw,0
8,7,HIT,unsettled,0
18,7,HIT,bust,-20
6,7,HIT,unsettled,0
15,7,STAND,win,20
18,6,STAND,win,20
17,8,HIT,bust,-20
5,4,STAND,lose,-20
17,2,SURRENDER,surrendered,-10
20,6,STAND,win,20
15,5,STAND,win,20
12,10,RETRY,unsettled,-5
15,10,SURRENDER,surrendered,-10
12,7,SURRENDER,surrendered,-10
15,6,HIT,bust,-20
15,6,HIT,unsettled,0
20,6,SURRENDER,surrendered,-10
13,9,SURRENDER,surrendered,-10
7,10,SURRENDER,surrendered,-10
20,5,HIT,bust,-20
21,10,HIT,unsettled,0
21,10,SURRENDER,surrendered,-10
16,10,STAND,lose,-20
13,10,HIT,unsettled,0
16,10,STAND,lose,-20
17,10,SURRENDER,surrendered,-10
13,10,DOUBLE DOWN,lose,-40
12,6,HIT,unsettled,0
15,6,HIT,bust,-20
14,10,DOUBLE DOWN,bust,-40
8,4,STAND,win,20
19,4,SURRENDER,surrendered,-10
20,10,STAND,draw,0
20,2,SURRENDER,surrendered,-10
17,10,RETRY,unsettled,-5
21,10,RETRY,unsettled,-5
15,10,STAND,lose,-20
18,11,STAND,lose,-20
14,5,STAND,win,20
13,10,HIT,unsettled,0
14,10,HIT,unsettled,0
15,10,SURRENDER,surrendered,-10
9,2,HIT,unsettled,0
19,2,SURRENDER,surrendered,-10
14,3,SURRENDER,surrendered,-10
17,10,DOUBLE DOWN,bust,-40
15,8,DOUBLE DOWN,win,40
13,7,SURRENDER,surrendered,-10
17,10,RETRY,unsettled,-5
12,10,HIT,unsettled,0
19,10,DOUBLE DOWN,bust,-40
15,10,RETRY,unsettled,-5
18,10,RETRY,unsettled,-5
14,10,DOUBLE DOWN,lose,-40
19,4,HIT,bust,-20
19,10,STAND,lose,-20
19,9,HIT,bust,-20
11,10,DOUBLE DOWN,lose,-40
13,7,HIT,unsettled,0
18,7,SURRENDER,surrendered,-10
12,5,SURRENDER,surrendered,-10
14,10,DOUBLE DOWN,lose,-40
13,2,STAND,lose,-20
16,10,HIT,bust,-20
12,11,RETRY,unsettled,-5
17,11,STAND,lose,-20
16,3,SURRENDER,surrendered,-10
13,7,SURRENDER,surrendered,-10
20,4,SURRENDER,surrendered,-10
13,10,RETRY,unsettled,-5
6,10,STAND,lose,-20
9,7,DOUBLE DOWN,win,40
13,5,RETRY,unsettled,-5
15,5,STAND,win,20
17,7,SURRENDER,surrendered,-10
15,2,HIT,unsettled,0
16,2,HIT,bust,-20
20,10,STAND,win,20
19,6,DOUBLE DOWN,bust,-40
11,11,STAND,lose,-20
14,2,HIT,unsettled,0
20,2,RETRY,bust,-25
21,10,HIT,unsettled,0
12,10,DOUBLE DOWN,win,40
17,8,DOUBLE DOWN,bust,-40
17,10,SURRENDER,surrendered,-10
12,10,STAND,win,20
11,10,DOUBLE DOWN,win,40
20,5,SURRENDER,surrendered,-10
14,10,SURRENDER,surrendered,-10
14,10,RETRY,unsettled,-5
20,10,SURRENDER,surrendered,-10
13,9,SURRENDER,surrendered,-10
13,10,HIT,unsettled,0
21,10,SURRENDER,surrendered,-10
15,5,HIT,bust,-20
15,8,SURRENDER,surrendered,-10
10,11,DOUBLE DOWN,lose,-40
14,4,RETRY,unsettled,-5
14,4,RETRY,unsettled,-5
10,4,STAND,win,20
19,9,SURRENDER,surrendered,-10
21,4,SURRENDER,surrendered,-10
13,4,DOUBLE DOWN,win,40
17,3,STAND,lose,-20
15,6,HIT,bust,-20
19,10,SURRENDER,surrendered,-10
16,7,DOUBLE DOWN,win,40
5,10,STAND,win,20
12,10,RETRY,unsettled,-5
19,10,HIT,bust,-20
14,3,DOUBLE DOWN,lose,-40
15,10,RETRY,unsettled,-5
16,10,HIT,bust,-20
7,4,RETRY,unsettled,-5
9,4,STAND,lose,-20
21,9,DOUBLE DOWN,lose,-40
17,5,RETRY,unsettled,-5
20,5,DOUBLE DOWN,bust,-40
16,10,SURRENDER,surrendered,-10
12,7,DOUBLE DOWN,bust,-40
13,10,RETRY,unsettled,-5
10,10,DOUBLE DOWN,win,40
13,4,SURRENDER,surrendered,-10
10,8,SURRENDER,surrendered,-10
17,11,HIT,unsettled,0
18,11,RETRY,unsettled,-5
19,11,HIT,bust,-20
18,5,STAND,win,20
13,6,SURRENDER,surrendered,-10
15,9,SURRENDER,surrendered,-10
14,2,DOUBLE DOWN,lose,-40
19,8,DOUBLE DOWN,bust,-40
14,2,DOUBLE DOWN,lose,-40
7,9,SURRENDER,surrendered,-10
17,9,RETRY,unsettled,-5
12,9,RETRY,unsettled,-5
18,9,SURRENDER,surrendered,-10
16,11,RETRY,unsettled,-5
16,11,RETRY,unsettled,-5
12,11,STAND,lose,-20
7,8,SURRENDER,surrendered,-10
17,10,DOUBLE DOWN,bust,-40
16,9,SURRENDER,surrendered,-10
12,4,HIT,unsettled,0
18,4,HIT,bust,-20
16,6,HIT,unsettled,0
17,6,DOUBLE DOWN,bust,-40
12,7,DOUBLE DOWN,lose,-40
20,10,RETRY,unsettled,-5
20,10,RETRY,unsettled,-5
15,10,HIT,bust,-20
14,4,SURRENDER,surrendered,-10
13,10,RETRY,unsettled,-5
19,10,SURRENDER,surrendered,-10
17,10,DOUBLE DOWN,bust,-40
12,2,HIT,bust,-20
15,3,STAND,lose,-20
21,11,HIT,unsettled,0
14,11,STAND,lose,-20
16,10,HIT,unsettled,0
16,10,RETRY,unsettled,-5
18,10,STAND,lose,-20
5,10,RETRY,unsettled,-5
12,10,HIT,bust,-20
14,5,SURRENDER,surrendered,-10
13,9,DOUBLE DOWN,draw,0
13,10,RETRY,unsettled,-5
17,10,RETRY,unsettled,-5
14,10,DOUBLE DOWN,bust,-40
18,8,SURRENDER,surrendered,-10
21,8,SURRENDER,surrendered,-10
15,2,HIT,bust,-20
20,11,HIT,bust,-20
14,6,STAND,lose,-20
17,8,SURRENDER,surrendered,-10
20,10,RETRY,unsettled,-5
14,10,DOUBLE DOWN,bust,-40
16,8,SURRENDER,surrendered,-10
12,8,SURRENDER,surrendered,-10
5,7,HIT,unsettled,0
16,7,RETRY,unsettled,-5
15,7,SURRENDER,surrendered,-10
14,8,DOUBLE DOWN,lose,-40
15,3,RETRY,unsettled,-5
18,3,DOUBLE DOWN,bust,-40
14,10,HIT,unsettled,0
19,10,STAND,draw,0
10,10,RETRY,unsettled,-5
12,10,SURRENDER,surrendered,-10
14,6,SURRENDER,surrendered,-10
15,10,HIT,unsettled,0
21,10,RETRY,unsettled,-5
21,10,HIT,bust,-20
12,8,RETRY,unsettled,-5
15,8,DOUBLE DOWN,bust,-40
20,8,DOUBLE DOWN,bust,-40
17,3,STAND,win,20
15,4,DOUBLE DOWN,bust,-40
20,5,DOUBLE DOWN,bust,-40
7,9,SURRENDER,surrendered,-10
19,10,HIT,bust,-20
18,6,RETRY,unsettled,-5
20,6,DOUBLE DOWN,bust,-40
4,9,STAND,lose,-20
19,8,STAND,lose,-20
12,5,STAND,lose,-20
10,11,STAND,lose,-20
15,11,DOUBLE DOWN,win,40
13,6,STAND,lose,-20
11,6,SURRENDER,surrendered,-10
17,11,STAND,lose,-20
17,3,RETRY,unsettled,-5
17,3,RETRY,unsettled,-5
17,3,RETRY,unsettled,-5
14,3,DOUBLE DOWN,win,40
13,4,DOUBLE DOWN,win,40
21,5,RETRY,unsettled,-5
20,5,DOUBLE DOWN,draw,0
11,10,DOUBLE DOWN,win,40
20,9,HIT,bust,-20
4,10,STAND,lose,-20
5,9,RETRY,unsettled,-5
6,9,HIT,unsettled,0
16,9,DOUBLE DOWN,bust,-40
14,10,RETRY,unsettled,-5
20,10,RETRY,unsettled,-5
18,10,HIT,bust,-20
13,11,SURRENDER,surrendered,-10
18,11,DOUBLE DOWN,bust,-40
9,5,DOUBLE DOWN,win,40
18,4,HIT,unsettled,0
19,4,RETRY,unsettled,-5
19,4,RETRY,bust,-25
15,2,HIT,unsettled,0
20,2,HIT,bust,-20
17,9,HIT,bust,-20
12,4,STAND,lose,-20
17,4,RETRY,unsettled,-5
19,4,HIT,bust,-20
16,10,DOUBLE DOWN,win,40
10,10,DOUBLE DOWN,win,40
12,4,DOUBLE DOWN,win,40
15,10,SURRENDER,surrendered,-10
14,11,SURRENDER,surrendered,-10
12,9,HIT,bust,-20
10,10,DOUBLE DOWN,lose,-40
17,4,HIT,bust,-20
11,5,HIT,unsettled,0
21,5,RETRY,unsettled,-5
17,5,DOUBLE DOWN,bust,-40
15,10,DOUBLE DOWN,lose,-40
20,10,SURRENDER,surrendered,-10
15,4,RETRY,unsettled,-5
13,4,SURRENDER,surrendered,-10
20,3,HIT,bust,-20
13,10,RETRY,unsettled,-5
11,10,RETRY,unsettled,-5
8,10,RETRY,unsettled,-5
9,10,HIT,unsettled,0
20,10,SURRENDER,surrendered,-10
17,6,STAND,win,20
12,7,RETRY,unsettled,-5
18,7,SURRENDER,surrendered,-10
15,6,SURRENDER,surrendered,-10
8,9,DOUBLE DOWN,lose,-40
11,5,HIT,unsettled,0
20,5,STAND,lose,-20
19,3,SURRENDER,surrendered,-10
11,3,RETRY,unsettled,-5
9,3,SURRENDER,surrendered,-10
16,10,DOUBLE DOWN,bust,-40
10,10,HIT,unsettled,0
16,10,STAND,lose,-20
21,8,SURRENDER,surrendered,-10
16,6,RETRY,unsettled,-5
16,6,DOUBLE DOWN,bust,-40
15,11,HIT,bust,-20
9,6,STAND,win,20
16,5,SURRENDER,surrendered,-10
16,8,HIT,unsettled,0
20,8,STAND,win,20
10,4,DOUBLE DOWN,win,40
17,11,HIT,bust,-20
13,8,HIT,unsettled,0
16,8,DOUBLE DOWN,bust,-40
15,3,STAND,win,20
13,6,DOUBLE DOWN,bust,-40
21,5,HIT,unsettled,0
15,5,STAND,lose,-20
20,4,STAND,draw,0
17,2,RETRY,unsettled,-5
13,2,STAND,lose,-20
16,10,STAND,lose,-20
13,5,DOUBLE DOWN,win,40
11,9,SURRENDER,surrendered,-10
12,10,STAND,lose,-20
17,3,HIT,unsettled,0
19,3,STAND,win,20
18,11,DOUBLE DOWN,bust,-40
17,2,STAND,lose,-20
20,4,STAND,win,20
10,5,HIT,unsettled,0
16,5,SURRENDER,surrendered,-10
15,5,HIT,bust,-20
15,6,STAND,lose,-20
6,5,STAND,win,20
14,9,DOUBLE DOWN,win,40
20,3,RETRY,unsettled,-5
20,3,SURRENDER,surrendered,-10
20,10,RETRY,unsettled,-5
19,10,RETRY,unsettled,-5
17,10,STAND,lose,-20
21,9,STAND,win,30
11,3,SURRENDER,surrendered,-10
20,10,HIT,bust,-20
10,10,DOUBLE DOWN,win,40
18,10,RETRY,unsettled,-5
18,10,STAND,draw,0
14,7,SURRENDER,surrendered,-10
11,9,SURRENDER,surrendered,-10
21,8,HIT,unsettled,0
20,8,RETRY,unsettled,-5
21,8,HIT,bust,-20
11,5,HIT,unsettled,0
13,5,HIT,unsettled,0
14,5,DOUBLE DOWN,win,40
18,9,STAND,lose,-20
10,2,HIT,unsettled,0
14,2,DOUBLE DOWN,draw,0
19,8,RETRY,unsettled,-5
20,8,RETRY,unsettled,-5
12,8,SURRENDER,surrendered,-10
20,10,DOUBLE DOWN,win,40
21,10,HIT,unsettled,0
13,10,STAND,lose,-20
13,10,DOUBLE DOWN,bust,-40
18,10,HIT,unsettled,0
19,10,RETRY,unsettled,-5
18,10,RETRY,unsettled,-5
20,10,HIT,unsettled,0
20,10,DOUBLE DOWN,bust,-40
14,10,STAND,lose,-20
19,10,DOUBLE DOWN,win,40
17,10,STAND,lose,-20
17,10,RETRY,unsettled,-5
20,10,RETRY,unsettled,-5
13,10,HIT,unsettled,0
21,10,DOUBLE DOWN,bust,-40
11,2,RETRY,unsettled,-5
11,2,DOUBLE DOWN,win,40
13,10,DOUBLE DOWN,lose,-40
14,6,STAND,lose,-20
14,9,DOUBLE DOWN,lose,-40
21,9,STAND,win,30
15,10,SURRENDER,surrendered,-10
14,10,RETRY,unsettled,-5
17,10,RETRY,unsettled,-5
20,10,STAND,lose,-20
11,10,DOUBLE DOWN,lose,-40
20,4,HIT,unsettled,0
21,4,STAND,win,20
15,6,HIT,unsettled,0
18,6,HIT,unsettled,0
21,6,HIT,bust,-20
19,4,HIT,unsettled,0
20,4,DOUBLE DOWN,bust,-40
13,10,STAND,lose,-20
13,7,HIT,bust,-20
14,5,STAND,win,20
20,10,RETRY,unsettled,-5
18,10,RETRY,unsettled,-5
20,10,DOUBLE DOWN,bust,-40
18,2,RETRY,unsettled,-5
20,2,SURRENDER,surrendered,-10
11,9,RETRY,unsettled,-5
14,9,SURRENDER,surrendered,-10
18,8,DOUBLE DOWN,bust,-40
20,11,DOUBLE DOWN,bust,-40
16,3,RETRY,unsettled,-5
18,3,SURRENDER,surrendered,-10
20,10,DOUBLE DOWN,win,40
11,4,HIT,unsettled,0
13,4,RETRY,unsettled,-5
20,4,DOUBLE DOWN,bust,-40
13,4,DOUBLE DOWN,draw,0
15,6,DOUBLE DOWN,bust,-40
16,5,STAND,win,20
18,10,SURRENDER,surrendered,-10
12,10,STAND,win,20
10,10,DOUBLE DOWN,win,40
18,2,DOUBLE DOWN,bust,-40
15,10,DOUBLE DOWN,lose,-40
17,2,RETRY,unsettled,-5
12,2,SURRENDER,surrendered,-10
12,6,SURRENDER,surrendered,-10
7,6,STAND,lose,-20
14,3,STAND,lose,-20
11,8,RETRY,unsettled,-5
14,8,HIT,bust,-20
13,7,RETRY,unsettled,-5
14,7,DOUBLE DOWN,lose,-40
11,10,RETRY,unsettled,-5
16,10,SURRENDER,surrendered,-10
21,10,RETRY,unsettled,-5
12,10,RETRY,unsettled,-5
21,10,RETRY,unsettled,-5
21,10,RETRY,unsettled,-5
19,10,RETRY,unsettled,-5
18,10,RETRY,unsettled,-5
21,10,DOUBLE DOWN,lose,-40
20,2,STAND,win,20
12,8,HIT,unsettled,0
14,8,RETRY,bust,-25
10,5,SURRENDER,surrendered,-10
12,7,STAND,lose,-20
18,10,HIT,bust,-20
10,8,SURRENDER,surrendered,-10
12,11,RETRY,unsettled,-5
17,11,HIT,bust,-20
16,10,RETRY,unsettled,-5
20,10,STAND,draw,0
13,11,STAND,lose,-20
15,8,DOUBLE DOWN,lose,-40
12,10,STAND,lose,-20
21,4,SURRENDER,surrendered,-10
14,6,DOUBLE DOWN,win,40
14,2,RETRY,unsettled,-5
19,2,HIT,bust,-20
12,10,RETRY,unsettled,-5
12,10,SURRENDER,surrendered,-10
8,10,SURRENDER,surrendered,-10
20,10,DOUBLE DOWN,bust,-40
14,10,RETRY,unsettled,-5
15,10,DOUBLE DOWN,bust,-40
12,4,SURRENDER,surrendered,-10
13,6,STAND,lose,-20
16,10,DOUBLE DOWN,bust,-40
12,5,DOUBLE DOWN,win,40
21,9,DOUBLE DOWN,win,40
9,8,SURRENDER,surrendered,-10
10,6,SURRENDER,surrendered,-10
17,3,SURRENDER,surrendered,-10
